  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
15:00:22   0.1   0.0   1.3  97.1   1.6    2  26526  17662    0    0    0  75.13   37.57   0.00  37.57  29.47  2.97 GHz
15:00:23   0.3   0.0   1.3  96.8   1.7    2  26084  17166    0    0    0  70.27   35.13   0.00  35.13  27.14  3.01 GHz
15:00:23   0.1   0.0   1.3  96.8   1.8    1  27240  17682    0    0    0  74.29   37.15   0.00  37.15  29.13  3.06 GHz
15:00:24   0.2   0.0   1.2  96.9   1.7    1  24428  16058    0    0    0  60.27   30.13   0.00  30.13  22.21  2.83 GHz
15:00:24   0.2   0.0   1.3  96.7   1.8    1  24512  16248    0    0    0  61.59   30.80   0.00  30.80  22.83  3.06 GHz
15:00:25   0.1   0.0   1.6  96.2   2.1    3  23042  16388    0    0    0  54.84   27.42   0.00  27.42  19.45  2.86 GHz
15:00:25   0.2   0.0   1.4  96.6   1.8    1  24760  16486    0    0    0  62.20   31.10   0.00  31.10  23.15  3.11 GHz
15:00:26   0.2   0.0   0.9  97.2   1.6    1  27096  17656    0    0    1  70.49   35.24   0.00  35.24  27.32  3.17 GHz
15:00:26   0.3   0.0   1.4  96.8   1.5    1  32386  20142    0    0    0  87.18   43.59   0.00  43.59  35.62  3.07 GHz
15:00:27   0.2   0.0   1.6  96.7   1.5    1  32234  20558    0    0    0  86.07   43.03   0.00  43.03  34.80  2.93 GHz
15:00:27   0.2   0.0   1.2  97.1   1.6    2  31614  20068    0    0    0  85.51   42.76   0.00  42.76  34.62  3.05 GHz
15:00:28   2.3   0.0   0.7  96.9   0.2    2   4752   6644    0    0    0 105.22   52.61   0.00  52.61  44.82  2.89 GHz
15:00:28   2.5   0.0   0.6  96.7   0.1    2    672   4808    0    0    0 108.69   54.34   0.00  54.34  46.57  3.02 GHz
15:00:29   2.5   0.0   0.7  96.8   0.0    2   1070   4808    0    0    0 108.80   54.40   0.00  54.40  46.64  2.99 GHz
15:00:29   2.3   0.0   0.8  96.8   0.1    2    996   4700    0    0    0 109.04   54.52   0.00  54.52  46.76  3.02 GHz
15:00:30   2.3   0.0   0.8  96.9   0.1    2   1136   4686    0    0    0 107.44   53.72   0.00  53.72  45.98  3.06 GHz
15:00:30   2.4   0.0   0.9  96.1   0.5    2   2186   6502    0    0    0 111.46   55.73   0.00  55.73  47.85  3.11 GHz
15:00:31   2.5   0.0   0.7  96.8   0.1    2    850   4640    0    0    0 108.82   54.41   0.00  54.41  46.68  3.11 GHz
15:00:31   2.3   0.0   0.8  96.9   0.1    2    970   4514    0    0    0 107.71   53.85   0.00  53.85  46.11  3.02 GHz
15:00:32   2.5   0.0   0.6  96.9   0.0    2    916   4640    0    0    0 108.65   54.33   0.00  54.33  46.60  3.11 GHz
15:00:32   2.6   0.0   0.6  96.7   0.1    2    654   4678    0    0    0 109.60   54.80   0.00  54.80  47.05  3.07 GHz
15:00:33   2.4   0.0   0.8  96.8   0.0    2    808   4734    0    0    0 109.51   54.76   0.00  54.76  47.00  2.99 GHz
15:00:33   2.5   0.0   0.6  96.7   0.1    2    936   4654    0    0    0 108.73   54.29   0.00  54.44  46.69  2.98 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
15:00:34   2.4   0.0   0.7  96.8   0.1    2    532   4624    0    0    1 109.24   54.69   0.00  54.55  46.79  3.11 GHz
15:00:34   2.5   0.0   0.7  96.8   0.0    2    708   4724    0    0    0 109.11   54.55   0.00  54.55  46.80  2.95 GHz
15:00:35   2.4   0.0   0.8  96.8   0.1    2    656   4660    0    0    0 109.26   54.63   0.00  54.63  46.87  3.04 GHz
