  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:47:13   2.4   0.0   0.6  96.7   0.3    1  14472   9202    0    0    2 111.98   55.99   0.00  55.99  48.17  2.84 GHz
14:47:13   2.3   0.0   0.6  96.7   0.4    2  13010   8558    0    0    0 110.37   55.12   0.00  55.25  47.42  2.95 GHz
14:47:14   2.4   0.0   0.6  96.6   0.4    2  15996   9766    2    0    7 112.81   56.47   0.00  56.34  48.51  2.94 GHz
14:47:14   1.4   0.0   1.2  94.6   2.8    2  42414  24578    0    0    1  89.26   44.63   0.00  44.63  36.61  2.93 GHz
14:47:15   1.8   0.0   1.0  93.7   3.5    2  38458  16998    0    0    0  91.87   45.88   0.00  45.99  38.14  3.00 GHz
14:47:15   2.7   0.0   0.4  95.4   1.4    2  12088   6254    0    0    0 114.51   57.31   0.00  57.20  49.56  3.05 GHz
14:47:16   2.8   0.0   0.3  96.7   0.1    2  11684   6014    0    0    0 113.60   56.80   0.00  56.80  49.18  3.02 GHz
14:47:16   2.8   0.0   0.5  96.6   0.1    1  10266   5612    0    0    0 113.97   56.99   0.00  56.99  49.37  2.96 GHz
14:47:17   2.6   0.0   0.5  96.7   0.2    2  10136   4708    0    0    0 115.59   57.79   0.00  57.79  50.13  2.94 GHz
14:47:17   2.9   0.0   0.4  96.6   0.1    2  11170   4914    0    0    0 115.75   57.88   0.00  57.88  50.26  3.01 GHz
14:47:18   2.9   0.0   0.4  96.6   0.1    2   9702   5388    0    0    0 115.11   57.56   0.00  57.56  49.95  3.02 GHz
14:47:18   2.3   0.0   0.5  96.2   1.0    1  29542  15202    0    0    0 103.48   51.74   0.00  51.74  44.09  3.02 GHz
14:47:19   2.3   0.0   0.8  93.4   3.5    2  18332  10896    1    0    1 106.58   53.29   0.00  53.29  45.69  2.97 GHz
14:47:19   2.7   0.0   0.4  95.7   1.1    2   9298   5318    0    0    0 116.60   58.30   0.00  58.30  50.60  3.07 GHz
14:47:20   2.9   0.0   0.4  96.5   0.3    2   9986  10944    0    0    1 114.31   57.16   0.00  57.16  49.51  2.95 GHz
14:47:20   2.9   0.0   0.4  96.2   0.4    2  17104  18502    0    0    0 115.35   57.67   0.00  57.67  50.05  3.07 GHz
14:47:21   3.1   0.0   0.4  96.4   0.1    2  10930   6146    0    0    0 118.13   59.07   0.00  59.07  51.42  2.96 GHz
14:47:21   3.0   0.0   0.5  96.4   0.1    2   8504   4950    0    0    1 119.99   60.00   0.00  60.00  52.34  2.93 GHz
14:47:22   2.7   0.0   0.5  96.7   0.1    2  10642   5630    0    0    0 113.31   56.66   0.00  56.66  49.02  2.91 GHz
14:47:22   2.1   0.0   0.9  95.3   1.7    2  41302  18694    0    0    0 101.02   50.51   0.00  50.51  42.70  2.88 GHz
14:47:23   2.6   0.0   0.3  93.7   3.4    2  12894   6308    0    0    0 114.60   57.30   0.00  57.30  49.66  2.98 GHz
14:47:23   2.6   0.0   0.5  96.7   0.2    1  10046   5564    0    0    0 115.50   57.75   0.00  57.75  50.12  3.07 GHz
14:47:24   2.8   0.0   0.3  96.7   0.2    2   9118   5010    0    0    0 116.80   58.40   0.00  58.40  50.78  3.03 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0 uncore  pkg-0   core  CPU Freq
14:47:24   2.6   0.0   0.6  96.6   0.2    2   8674   4820    0    0    0 115.60   57.75   0.00  57.86  50.23  2.92 GHz
14:47:25   2.8   0.0   0.2  96.9   0.1    2   8474   4772    0    0    0 115.74   57.92   0.00  57.81  50.22  2.91 GHz
14:47:25   2.7   0.0   0.3  96.6   0.4    2   9170   4696    0    0    0 114.54   57.27   0.00  57.27  49.62  2.99 GHz
14:47:26   1.8   0.0   0.8  95.7   1.8    2  63538  27700    0    0    0  96.77   48.38   0.00  48.38  40.61  2.92 GHz
